,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
170,Khatanga,35,RU,1561686813,56,71.97,102.5,62.46,6.15
171,Bagaces,0,CR,1561686813,69,10.53,-85.25,82.4,16.11
172,Hobart,75,AU,1561686814,58,-42.88,147.33,61.0,10.29
173,Port Lincoln,99,AU,1561686814,65,-34.73,135.87,62.04,24.29
174,Muncar,56,ID,1561686814,70,-8.43,114.33,76.12,6.51
175,Kalat,0,PK,1561686814,25,29.02,66.59,75.49,3.04
176,Nieuwpoort,20,BE,1561686814,87,51.12,2.77,60.01,12.75
177,Fallon,75,US,1561686815,15,39.47,-118.78,75.2,10.29
178,Petrolina,40,BR,1561686815,73,-9.4,-40.5,75.2,11.41
179,Ponta do Sol,20,PT,1561686815,68,32.67,-17.1,66.2,8.05
180,Itoman,75,JP,1561686815,83,26.12,127.67,86.0,12.75
181,Upington,0,ZA,1561686526,35,-28.45,21.26,55.4,5.82
182,Carnarvon,0,AU,1561686816,82,-24.87,113.63,62.6,13.87
183,Mahebourg,75,MU,1561686597,83,-20.41,57.7,73.4,12.75
184,Los Llanos de Aridane,20,ES,1561686816,68,28.66,-17.92,69.8,8.05
185,Port Hardy,90,CA,1561686816,67,50.7,-127.42,62.6,10.29
186,Hambantota,20,LK,1561686816,100,6.12,81.12,78.8,9.17
187,Taoudenni,38,ML,1561686817,11,22.68,-3.98,88.66,3.76
188,Keti Bandar,11,PK,1561686817,82,24.14,67.45,84.58,17.72
189,Korem,100,ET,1561686817,51,12.51,39.52,65.68,5.73
190,Turukhansk,100,RU,1561686817,95,65.82,87.98,54.52,11.25
191,Vredendal,100,ZA,1561686817,93,-31.67,18.5,55.29,22.93
192,Kruisfontein,0,ZA,1561686817,23,-34.0,24.73,53.2,11.65
193,Emba,0,CY,1561686818,77,34.81,32.42,75.2,5.82
194,Koungou,0,YT,1561686818,78,-12.73,45.2,78.8,16.11
195,Nizhniy Kuranakh,0,RU,1561686818,35,58.84,125.49,74.77,6.24
196,Nyrob,0,RU,1561686818,56,60.73,56.72,58.1,4.81
197,Lardos,0,GR,1561686818,78,36.09,28.02,78.8,14.99
198,Nanortalik,99,GL,1561686819,99,60.14,-45.24,37.54,4.54
199,Phuket,20,TH,1561686819,66,7.89,98.4,86.0,8.05
200,Verkhnevilyuysk,66,RU,1561686819,44,63.45,120.32,80.42,5.77
201,Santa Rita do Passa Quatro,0,BR,1561686819,87,-21.71,-47.48,69.8,3.36
202,Toluviejo,100,CO,1561686820,88,9.45,-75.44,77.27,4.21
203,Chingirlau,100,KZ,1561686820,49,51.09,54.08,65.93,4.03
204,Nome,75,US,1561686712,72,64.5,-165.41,61.0,5.82
205,Yerbogachen,0,RU,1561686820,31,61.28,108.01,84.02,4.27
206,Olinda,20,BR,1561686807,73,-8.01,-34.86,77.0,10.29
207,Rabo de Peixe,20,PT,1561686820,72,37.8,-25.58,62.6,4.7
208,Altay,1,CN,1561686820,42,47.87,88.12,67.23,5.21
209,Nemuro,75,JP,1561686821,82,43.32,145.57,55.4,5.82
210,Mapimi,75,MX,1561686821,28,25.82,-103.85,95.0,16.11
211,Murgab,40,TM,1561686821,39,37.5,61.97,78.8,9.17
212,Beringovskiy,90,RU,1561686589,62,63.05,179.32,52.95,8.52
213,La Ronge,40,CA,1561686787,56,55.1,-105.28,68.0,2.24
214,Hamada,75,JP,1561686821,78,34.88,132.08,82.99,5.82
215,Van,20,TR,1561686822,59,38.49,43.38,62.6,2.24
216,Aitape,40,PG,1561686822,74,-3.14,142.35,83.39,5.19
217,Kumluca,0,TR,1561686822,70,36.37,30.29,65.39,4.79
218,Dubbo,0,AU,1561686822,55,-32.25,148.62,62.6,10.29
219,Flin Flon,35,CA,1561686822,63,54.77,-101.86,61.84,5.35
220,Natal,20,BR,1561686823,78,-5.79,-35.21,77.0,10.29
221,Port Hedland,0,AU,1561686823,77,-20.32,118.57,68.0,8.05
222,Paraiso,75,CR,1561686823,78,9.84,-83.87,73.4,8.05
223,Inhambane,0,MZ,1561686823,95,-23.86,35.38,60.49,1.45
224,Homer,1,US,1561686823,72,59.64,-151.55,77.0,12.75
225,Parchim,20,DE,1561686824,93,53.43,11.85,55.99,8.05
226,Pamekasan,1,ID,1561686824,57,-7.16,113.47,83.57,10.83
227,Chara,66,RU,1561686824,55,56.91,118.26,58.91,6.13
228,Wanaka,87,NZ,1561686716,88,-44.7,169.15,39.0,4.54
229,Kloulklubed,90,PW,1561686824,83,7.04,134.26,82.4,13.87
230,Zyryanka,88,RU,1561686825,35,65.75,150.85,64.38,20.13
231,Yulara,0,AU,1561686626,25,-25.24,130.99,62.6,6.93
232,Skoczow,0,PL,1561686825,62,49.8,18.79,60.01,7.45
233,Tarko-Sale,100,RU,1561686825,72,64.92,77.78,50.0,19.22
234,Ormond Beach,90,US,1561686826,83,29.29,-81.06,82.99,5.82
235,East London,0,ZA,1561686826,33,-33.02,27.91,60.71,5.12
236,Aksu,93,CN,1561686564,33,41.12,80.26,76.42,1.61
237,Lara,0,AU,1561686826,63,-38.02,144.4,66.0,17.22
238,College,90,US,1561686691,43,64.86,-147.8,78.8,4.7
239,Salalah,75,OM,1561686826,88,17.02,54.09,80.6,10.29
240,Mount Gambier,75,AU,1561686827,59,-37.83,140.77,60.8,13.87
241,Chapais,20,CA,1561686827,77,49.78,-74.85,64.4,5.82
242,Atambua,0,ID,1561686827,50,-9.11,124.89,79.38,1.3
243,Rocha,0,UY,1561686827,81,-34.48,-54.33,44.35,9.1
244,Filadelfia,90,PY,1561686827,61,-22.35,-60.03,77.02,10.94
245,Broken Hill,91,AU,1561686828,49,-31.95,141.43,68.0,20.8
246,Nyiregyhaza,0,HU,1561686828,68,47.96,21.72,66.2,8.05
247,Vinh,100,VN,1561686828,42,18.67,105.67,95.99,11.14
248,Mao,0,ES,1561686828,94,39.89,4.27,69.8,2.24
249,Kawalu,78,ID,1561686736,74,-7.38,108.21,71.92,6.35
250,Cabo San Lucas,40,MX,1561686693,48,22.89,-109.91,96.8,16.11
251,Tam Ky,20,VN,1561686829,50,15.57,108.48,95.0,4.7
252,Ouegoa,75,NC,1561686829,83,-20.35,164.43,71.85,20.15
253,Oktyabrskiy,78,RU,1561686829,94,54.48,53.47,53.13,6.98
254,Maroantsetra,95,MG,1561686829,99,-15.43,49.73,64.9,1.68
255,Rudbar,0,AF,1561686829,20,30.15,62.6,85.55,9.8
256,Waddan,0,LY,1561686830,50,29.16,16.14,78.15,8.14
257,Cairns,1,AU,1561686532,65,-16.92,145.77,82.0,23.04
258,Ilulissat,97,GL,1561686830,80,69.22,-51.1,39.2,8.05
259,Harlingen,1,US,1561686830,70,26.19,-97.7,89.6,9.17
260,Yagodnoye,100,RU,1561686830,72,62.55,149.67,50.2,5.23
261,Tessalit,9,ML,1561686830,19,20.2,1.01,88.54,18.61
262,Havoysund,100,NO,1561686831,86,71.0,24.66,41.0,29.97
263,Alofi,75,NU,1561686831,73,-19.06,-169.92,77.0,16.11
264,Vung Tau,67,VN,1561686667,71,10.35,107.08,85.86,15.05
265,Katsuura,75,JP,1561686831,83,35.13,140.3,82.99,12.75
266,Taitung,20,TW,1561686831,62,22.76,121.14,89.6,6.93
267,The Valley,75,AI,1561686832,69,18.22,-63.06,82.4,13.87
268,Georgetown,75,GY,1561686832,83,6.8,-58.16,80.6,6.93
269,Santa Cruz,75,PH,1561686832,70,14.28,121.42,89.01,2.24
270,Coron,100,PH,1561686832,84,12.0,120.2,81.93,15.46
271,Macenta,44,GN,1561686832,99,8.54,-9.47,67.3,1.16
272,Jequitinhonha,0,BR,1561686833,96,-16.43,-41.0,60.96,2.06
273,Blagoveshchenka,1,RU,1561686833,80,52.83,79.87,53.96,8.05
274,Churachandpur,83,IN,1561686622,79,24.33,93.67,78.31,2.82
275,Warmbad,0,NA,1561686833,60,-28.45,18.73,44.73,6.46
276,Adrar,0,DZ,1561686833,8,27.87,-0.29,91.4,5.82
277,Isangel,100,VU,1561686833,82,-19.55,169.27,69.22,1.36
278,Aksarka,91,RU,1561686834,52,66.56,67.8,57.67,11.74
279,Romilly-sur-Seine,0,FR,1561686834,68,48.51,3.73,69.8,4.7
280,Wakkanai,75,JP,1561686834,71,45.41,141.67,57.2,17.22
281,Vanimo,83,PG,1561686834,68,-2.67,141.3,83.55,1.81
282,Kalianget,0,ID,1561686834,48,-7.05,113.93,83.86,5.84
283,Logrono,0,ES,1561686546,77,42.47,-2.45,70.0,5.82
284,Iranshahr,0,IR,1561686835,7,27.2,60.68,90.95,1.81
285,Sitka,20,US,1561686835,72,57.05,-135.33,77.0,5.82
286,Anamur,20,TR,1561686835,100,36.08,32.84,73.4,3.36
287,Along,100,IN,1561686835,99,28.17,94.77,60.89,2.42
288,Bilibino,85,RU,1561686836,53,68.05,166.44,58.89,11.95
289,Yunyang,100,CN,1561686836,91,33.45,112.71,70.14,3.69
290,Touros,75,BR,1561686731,94,-5.2,-35.46,75.2,4.7
291,Briancon,0,FR,1561686836,43,44.9,6.65,78.01,7.0
292,Camacha,20,PT,1561686836,77,33.08,-16.33,66.2,8.05
293,Gobabis,0,NA,1561686837,43,-22.45,18.97,51.8,2.24
294,Puerto Baquerizo Moreno,0,EC,1561686837,90,-0.9,-89.6,71.98,12.15
295,Iquique,90,CL,1561686837,67,-20.22,-70.14,62.6,8.05
296,San Patricio,75,MX,1561686837,83,19.22,-104.7,82.4,6.93
297,Tara,21,RU,1561686837,63,56.89,74.37,58.53,3.8
298,Oshnaviyeh,0,IR,1561686644,63,37.04,45.1,64.4,6.93
299,Panikihan,100,PH,1561686838,65,13.9,122.13,87.08,7.31
300,Broome,0,AU,1561686604,49,-17.97,122.23,71.6,4.7
301,Jining,100,CN,1561686838,93,35.41,116.58,82.0,5.79
302,Matoury,0,GF,1561686838,94,4.85,-52.33,77.0,3.76
303,Saint George,1,US,1561686838,8,37.1,-113.58,95.0,11.41
304,Klaksvik,100,FO,1561686839,100,62.23,-6.59,50.0,5.82
305,San Ramon de la Nueva Oran,0,AR,1561686839,81,-23.13,-64.33,48.45,3.02
306,Andra,0,RU,1561686839,54,62.51,65.89,56.32,2.13
307,Nichinan,75,JP,1561686839,100,31.6,131.37,77.0,3.36
308,Matagami,1,CA,1561686839,77,49.75,-77.63,62.6,4.76
309,Catuday,100,PH,1561686840,73,16.29,119.81,84.38,15.66
310,Namibe,50,AO,1561686840,80,-15.2,12.15,63.57,14.0
311,Mushie,69,CD,1561686840,62,-3.02,16.9,70.72,3.36
312,Nuuk,0,GL,1561686840,81,64.18,-51.72,44.01,4.7
313,Coquimbo,90,CL,1561686681,81,-29.95,-71.34,53.6,5.82
314,Vila Franca do Campo,20,PT,1561686663,72,37.72,-25.43,62.6,4.7
315,Paamiut,0,GL,1561686841,92,61.99,-49.67,38.59,17.02
316,Berlevag,99,NO,1561686562,89,70.86,29.09,41.14,21.25
317,Pitimbu,0,BR,1561686830,88,-7.47,-34.81,73.4,4.7
318,Korla,0,CN,1561686841,87,41.76,86.15,75.99,3.04
319,Surinam,75,MU,1561686842,83,-20.51,57.51,73.4,12.75
320,Forssa,0,FI,1561686842,91,60.78,23.6,52.0,3.0
321,Atherton,0,GB,1561686842,76,53.52,-2.49,57.0,4.7
322,Baturaja,97,ID,1561686606,69,-4.13,104.17,82.22,4.43
323,Clyde River,1,CA,1561686842,52,70.47,-68.59,44.6,23.04
324,Swift Current,90,CA,1561686843,72,50.28,-107.8,66.2,17.22
325,Mamallapuram,75,IN,1561686732,66,12.63,80.17,86.0,8.05
326,Darhan,100,MN,1561686843,95,49.49,105.92,52.9,11.81
327,Machida,75,JP,1561686843,83,35.54,139.45,88.0,12.75
328,Fort Nelson,75,CA,1561686843,63,58.81,-122.7,60.8,2.24
329,Shache,100,CN,1561686843,94,38.42,77.24,71.01,2.8
330,Quatre Cocos,75,MU,1561686843,83,-20.21,57.76,73.4,12.75
331,Iroquois,1,CA,1561686844,72,44.85,-75.32,73.4,4.7
332,Udachnyy,0,RU,1561686844,60,66.42,112.4,69.8,2.24
333,Parkes,0,AU,1561686844,43,-33.13,148.18,66.99,5.01
334,Chengde,76,CN,1561686844,61,40.97,117.94,75.4,3.8
335,Leningradskiy,100,RU,1561686845,91,69.38,178.42,38.35,3.89
336,Yantal,0,RU,1561686845,29,56.85,105.25,79.21,11.21
337,Great Falls,40,US,1561686845,77,47.5,-111.3,59.0,6.93
338,Vestmanna,100,FO,1561686845,100,62.16,-7.17,50.0,5.82
339,Mayo,1,US,1561686846,78,38.89,-76.51,84.2,3.36
340,Wittingen,75,DE,1561686846,71,52.73,10.74,57.99,6.93
341,Asau,88,RO,1561686846,77,46.43,26.4,68.0,4.7
342,Sur,0,OM,1561686846,58,22.57,59.53,86.83,13.22
343,Texarkana,1,US,1561686846,66,33.43,-94.05,86.0,4.7
344,Kahului,40,US,1561686591,52,20.89,-156.47,91.4,11.41
345,Manadhoo,58,MV,1561686847,74,5.77,73.38,83.43,10.51
346,Naze,75,JP,1561686847,89,28.37,129.48,84.2,16.11
347,Dingle,100,PH,1561686847,83,11.0,122.67,80.2,10.02
348,Tommot,18,RU,1561686847,38,58.96,126.29,73.49,5.37
349,Solnechnyy,98,RU,1561686848,32,50.72,136.63,73.47,3.51
350,Andapa,16,MG,1561686848,95,-14.65,49.65,59.22,3.06
351,Panama,75,PA,1561686691,94,8.99,-79.52,81.0,5.82
352,Zongozotla,95,MX,1561686848,98,19.98,-97.73,55.6,2.44
353,Bonthe,100,SL,1561686848,84,7.53,-12.51,79.36,10.78
354,Nadym,100,RU,1561686848,58,65.53,72.52,54.27,9.98
355,Karratha,0,AU,1561686587,40,-20.74,116.85,75.79,16.35
356,Tolbazy,90,RU,1561686849,100,54.02,55.88,53.6,4.47
357,Mulanje,0,MW,1561686849,87,-16.03,35.5,54.05,3.38
358,Domoni,0,KM,1561686849,73,-12.26,44.53,79.16,16.42
359,Haines Junction,38,CA,1561686850,36,60.75,-137.51,66.16,3.31
360,Aklavik,40,CA,1561686843,33,68.22,-135.01,62.6,9.17
361,Conceicao do Araguaia,28,BR,1561686850,67,-8.26,-49.26,72.39,1.21
362,Kaeo,42,NZ,1561686850,68,-35.1,173.78,59.0,8.99
363,Provideniya,90,RU,1561686850,81,64.38,-173.3,53.6,8.95
364,Saint-Jean-de-Maurienne,0,FR,1561686851,88,45.28,6.35,69.8,2.24
365,Ambilobe,0,MG,1561686851,91,-13.2,49.05,69.24,3.18
366,Kalanguy,100,RU,1561686851,49,51.02,116.52,66.63,13.24
367,Washington,90,US,1561686851,62,47.5,-120.5,62.01,6.93
368,Valdosta,20,US,1561686604,58,30.83,-83.28,84.2,3.36
369,Tucuma,9,BR,1561686852,86,-0.18,-50.05,78.08,9.64
370,Auki,87,SB,1561686852,71,-8.77,160.7,82.76,3.89
371,Mogzon,64,RU,1561686852,45,51.74,111.96,67.21,10.63
372,Luanda,0,AO,1561686852,88,-8.84,13.23,68.0,2.24
373,Galesong,20,ID,1561686853,69,-5.32,119.37,80.6,5.82
374,Khorixas,48,NA,1561686853,84,-20.37,14.97,51.33,5.39
